"file_identifier","datasource","first_harvest_date","last_harvest_date","last_mdate_check_date","mdate","doi"
"USGS:5d961fd5e4b0c4f70d110e3c","Central Energy Resources Science Center","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-08-13 00:00:00","doi:10.5066/P935RLIG"
"USGS:5d1ce55ce4b0941bde64cd53","Central Energy Resources Science Center","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-08-13 00:00:00","doi:10.5066/F74T6GC4"
"USGS:5cc34bb6e4b09b8c0b7606b1","Central Midwest Water Science Center","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-08-13 00:00:00","doi:10.5066/P94M4US7"
"USGS:5bcf4bdbe4b0b3fc5cde1481","Central Midwest Water Science Center","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-08-13 00:00:00","doi:10.5066/P9H8P0F7"
"USGS:5c0e92bee4b0c53ecb2aea9a","Central Midwest Water Science Center","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-08-13 00:00:00","doi:10.5066/P9XDVRMT"
"USGS:5bcf4b6ce4b0b3fc5cde146f","Central Midwest Water Science Center","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-08-13 00:00:00","doi:10.5066/P9H8P0F7"
"USGS:57c98889e4b0f2f0cec15c57","Central Midwest Water Science Center","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-08-14 00:00:00","doi:10.5066/F7RF5S5K"
"USGS:57f1b924e4b0bc0bebfee12b","Central Midwest Water Science Center","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-08-14 00:00:00","doi:10.5066/F73F4MRV"
"USGS:5801036ee4b0824b2d18bbc1","Columbia Environmental Research Center","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-08-17 00:00:00","doi:10.5066/F7K64G7D"
"USGS:5d716d1fe4b0c4f70cfed021","Columbia Environmental Research Center","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-08-17 00:00:00","doi:10.5066/P9XGRA5Q"
"USGS:5810bd7de4b0f497e7972b83","Columbia Environmental Research Center","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-08-17 00:00:00","doi:10.5066/F7F769P1"
"USGS:5dfb93d5e4b0b5e61c0732a2","Columbia Environmental Research Center","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-08-17 00:00:00","doi:10.5066/P926SZLN"
"USGS:5ad0c0bbe4b0e2c2dd1d6bb0","Columbia Environmental Research Center","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-08-17 00:00:00","doi:10.5066/P99GDFWB"
"USGS:58c17451e4b014cc3a3d355c","Columbia Environmental Research Center","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-08-17 00:00:00","doi:10.5066/F7TB154R"
"USGS:59020dd6e4b0c2e071a99c69","Columbia Environmental Research Center","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-08-17 00:00:00","doi:10.5066/F72F7KPC"
"USGS:58e298d5e4b09da67996a84f","Columbia Environmental Research Center","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-08-17 00:00:00","doi:10.5066/F70C4SXJ"
"USGS:5ae07de8e4b0e2c2dd2e9c41","Columbia Environmental Research Center","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-10-28 17:38:20.225508-04","2020-08-17 00:00:00","doi:10.5066/F7X0660R"
